Items,Usage_Laptop,Usage_MobilePhone,Usage_Smartphone,Usage_Tablet,Usage_SmartWatch,Usage_SmartCar,Usage_PC,Usage_SmartTV,Usage_Console,Usage_SmartLights,Usage_SmartHeater,Usage_SmartSpeaker
Interviewdauer [sec],0.0,-0.0613,-0.0751,-0.0714,-0.0918,-0.1111,0.0,0.0,-0.1733,-0.1643,-0.1299,-0.1149
STATUS,,,,,,,,,,,,
current_Q,,,,,,,,,,,,
Consent,,,,,,,,,,,,
PastHelp_Police,0.0,0.0,0.0908,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.1127,0.0
PastHelp_Manuf,0.0,0.0658,0.0883,0.1223,0.0967,0.1208,0.0,0.0,0.0962,0.1306,0.1293,0.0
PastHelp_Provider,0.0,0.0,0.0,0.102,0.0665,0.1318,0.0,0.0,0.0751,0.1044,0.1354,0.0646
PastHelp_ConsOffice,0.0,0.0988,0.0,0.1224,0.0814,0.109,0.0,0.0,0.0,0.0948,0.1121,0.0
PastHelp_EmployerIT,0.1651,0.0687,0.1946,0.1744,0.2342,0.2096,0.0854,0.0728,0.2346,0.2095,0.215,0.1792
PastHelp_PCShop,0.0,0.0976,0.0,0.0878,0.0873,0.1335,0.0,0.0,0.0913,0.0857,0.1582,0.0
PastHelp_PublicMed,0.1117,0.1402,0.0993,0.1179,0.1951,0.247,0.0611,0.0855,0.1539,0.2306,0.2569,0.1375
PastHelp_PrivateMed,0.1375,0.1934,0.1236,0.1664,0.1926,0.2281,0.072,0.1175,0.1923,0.2043,0.2749,0.1504
PastHelp_Forum,0.0963,0.0,0.0879,0.1286,0.1199,0.1363,0.1343,0.0603,0.1828,0.1681,0.2108,0.1293
PastHelp_IntExperts,0.1047,0.1259,0.105,0.1401,0.1885,0.1477,0.0971,0.091,0.1965,0.1837,0.2317,0.1362
PastHelp_Influencer,0.0919,0.1841,0.1368,0.1477,0.1589,0.2203,0.1211,0.1096,0.2373,0.2236,0.2603,0.1442
PastHelp_Family,0.0,0.0,0.0885,0.0954,0.074,0.0609,0.0,0.0595,0.0,0.0,0.0,0.0618
PastHelp_Colleague,0.0885,0.0,0.2006,0.1577,0.1861,0.1722,0.0,0.0662,0.1921,0.1227,0.1706,0.136
PastHelp_Self,0.0832,0.0,0.1208,0.1026,0.1397,0.1596,0.1324,0.0766,0.2126,0.1252,0.1483,0.0671
FutureVictim_Virus,0.0947,0.0,0.1275,0.0,0.0,0.0827,0.0,0.0,0.0675,0.0,0.0,0.0
FutureVictim_DDoS,0.0912,0.0,0.0,0.0,0.0,0.1187,0.0,0.0,0.0839,0.088,0.0808,0.0
FutureVictim_PerfTheft,0.1318,0.1003,0.1056,0.126,0.0888,0.1478,0.0,0.0,0.0,0.0843,0.0824,0.0
FutureVictim_APT,0.1854,0.1323,0.0986,0.129,0.0881,0.1478,0.0,0.0,0.1117,0.0764,0.0,0.0
FutureVictim_Sidechannel,0.1529,0.1391,0.0996,0.1302,0.0,0.1502,0.0,0.0,0.1197,0.1202,0.1092,0.0
FutureVictim_Spam,0.0908,0.0,0.1732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FutureVictim_CyBully,0.1362,0.081,0.1096,0.0965,0.0939,0.1051,0.0,0.0,0.125,0.078,0.0757,0.0
FutureVictim_CyStalk,0.143,0.1082,0.1465,0.0838,0.1029,0.1469,0.0,0.0701,0.1158,0.0986,0.1256,0.0696
FutureVictim_IDTheft,0.0934,0.0896,0.0968,0.0,0.0,0.0747,0.0,0.0,0.0,0.0,0.0,0.0
FutureVictim_Ransomware,0.114,0.091,0.084,0.0,0.0779,0.0806,0.0,0.0,0.0,0.0,0.0,0.0
FutureVictim_ShopScam,0.0957,0.0,0.1441,0.0,0.0667,0.0923,0.0,0.0,0.0777,0.0,0.0712,0.0
FutureVictim_Scareware,0.1669,0.0,0.1048,0.0926,0.1087,0.1103,0.0,0.0,0.1362,0.1184,0.0689,0.0831
FutureVictim_Spyware,0.1164,0.0,0.1298,0.0,0.0,0.0998,0.0,0.0,0.0893,0.0,0.0,0.0
FutureVictim_Phishing,0.1282,0.0,0.1491,0.0,0.0,0.0701,0.0,0.0,0.0,0.0,0.0,0.0
FutureVictim_Doxing,0.1456,0.0801,0.1491,0.0874,0.0691,0.1238,0.0,0.0706,0.1265,0.0697,0.0861,0.0
