,Value,Column,Row,Value 1,Value 2
903,-0.12,FutureVictim_IDTheft,FutureInfo_SoftwareSites,0.07,-0.05
905,-0.12,FutureVictim_Ransomware,CyberThreat_FirewallSecurity,0.1,-0.02
909,-0.12,FutureVictim_ShopScam,CyberThreat_Education,0.23,0.11
1316,0.12,RelInfo_RecHelp,Knows_Heise,-0.03,0.09
906,0.12,FutureVictim_Ransomware,FutureInfo_TV,-0.09,0.03
1315,-0.12,RelInfo_TechSupport,RelInfo_RecHelp,0.58,0.46
207,-0.12,Knows_HGI,Knows_CERTb,0.61,0.49
889,0.12,FutureVictim_APT,FutureInfo_WarningApps,-0.05,0.07
866,-0.12,PastHelp_Self,PastHelp_ConsOffice,-0.03,-0.15
863,-0.12,PastHelp_Colleague,FutureVictim_Phishing,0.22,0.1
220,-0.12,Knows_Kastel,Knows_BKA,0.25,0.13
1157,-0.12,PastInfo_Fam,PastHelp_CERTl,0.21,0.09
218,-0.12,Knows_Kastel,CyberThreat_CyberWar,0.09,-0.03
193,-0.12,Knows_Athene,Knows_ACS,0.61,0.49
915,-0.12,FutureVictim_Scareware,CyberThreat_Education,0.23,0.11
195,-0.12,Knows_CISPA,Knows_CERTl,0.54,0.42
1159,-0.12,PastInfo_Fam,PastHelp_Self,0.06,-0.06
196,-0.12,Knows_CISPA,Knows_CAZ,0.52,0.4
853,-0.12,PastHelp_Family,FutureVictim_SocMedHack,0.21,0.09
839,-0.12,PastHelp_IntExperts,FutureVictim_CyBully,0.19,0.07
850,0.12,PastHelp_IntExperts,FutureInfo_TV,-0.11,0.01
204,-0.12,Knows_HGI,Knows_BKA,0.22,0.1
842,-0.12,PastHelp_IntExperts,FutureVictim_Ransomware,0.15,0.03
211,-0.12,Knows_CODE,Knows_BSI,0.4,0.28
848,-0.12,PastHelp_IntExperts,FutureVictim_SocEng,0.15,0.03
1323,-0.12,Sum_institution_knowledge,PastInfo_Fam,0.3,0.18
864,0.12,PastHelp_Colleague,FutureInfo_Fam,-0.01,0.11
221,-0.12,Knows_Kastel,Knows_Europol,0.32,0.2
868,-0.12,FutureVictim_Virus,CyberThreat_Education,0.27,0.15
159,-0.12,Knows_Europol,FutureVictim_Ransomware,0.08,-0.04
208,-0.12,Knows_HGI,Knows_CERTv,0.66,0.54
168,-0.12,Knows_ProPK,Knows_CISPA,0.44,0.32
1332,-0.12,Sum_Victim,RelInfo_SecDevice,0.07,-0.05
825,-0.12,PastHelp_IntExperts,CyberThreat_FearCyberWar,0.13,0.01
170,-0.12,Knows_ProPK,Knows_CERTv,0.5,0.38
879,-0.12,FutureVictim_PerfTheft,CyberThreat_Risk4Individual,0.21,0.09
1165,-0.12,PastInfo_Press,FutureVictim_Sidechannel,0.19,0.07
877,-0.12,FutureVictim_DDoS,FutureVictim_CyBully,0.58,0.46
828,-0.12,PastHelp_IntExperts,Knows_PWDay,0.28,0.16
174,-0.12,Knows_Zitis,Knows_ENISA,0.62,0.5
1318,-0.12,Sum_institution_knowledge,CyberThreat_Danger,0.18,0.06
833,-0.12,PastHelp_IntExperts,PastHelp_Family,0.28,0.16
225,-0.12,Knows_Kastel,Knows_ACS,0.65,0.53
871,-0.12,FutureVictim_Virus,FutureInfo_Publication,0.06,-0.06
183,-0.12,Knows_Zitis,Knows_Kastel,0.62,0.5
914,-0.12,FutureVictim_Scareware,CyberThreat_GERPreparedness,0.08,-0.04
1233,0.12,PastInfo_Newsletter,Age,0.03,0.15
918,-0.12,FutureVictim_Scareware,FutureInfo_Publication,0.05,-0.07
1121,-0.12,Uses_SafeSearchEng,Knows_CERTv,0.38,0.26
1039,-0.12,Uses_VPN,PastVictim_Spyware,0.23,0.11
1104,-0.12,Uses_CloudBackup,PastVictim_CyStalk,0.2,0.08
1037,-0.12,Uses_VPN,PastVictim_ShopScam,0.14,0.02
45,-0.12,Usage_SmartTV,FutureInfo_Press,0.01,-0.11
46,-0.12,Usage_Console,CyberThreat_FirewallSecurity,-0.08,-0.2
1371,-0.12,Sum_SecurityLevel,PastHelp_Colleague,0.23,0.11
1031,0.12,Uses_AnonService,FutureInfo_Press,-0.15,-0.03
1108,-0.12,Uses_CloudBackup,PastInfo_Press,0.2,0.08
51,-0.12,Usage_Console,CyberThreat_CyberCrimeJustice,0.13,0.01
52,-0.12,Usage_Console,Knows_ENISA,0.23,0.11
1024,-0.12,Uses_MailEncryption,PastVictim_Scareware,0.23,0.11
1111,-0.12,Uses_CloudBackup,PastInfo_Blog,0.29,0.17
1112,-0.12,Uses_CloudBackup,PastInfo_Newsletter,0.24,0.12
54,-0.12,Usage_Console,Knows_Kastel,0.28,0.16
57,-0.12,Usage_Console,Knows_DigDay,0.3,0.18
59,-0.12,Usage_Console,PastVictim_DDoS,0.29,0.17
1116,-0.12,Uses_SafeSearchEng,Knows_BSI,0.32,0.2
1009,-0.12,Uses_Spamfilter,Usage_MobilePhone,-0.03,-0.15
1006,-0.12,Uses_EncrMessenger,Uses_BackupMobile,0.38,0.26
1004,-0.12,Uses_EncrMessenger,FutureVictim_Scareware,0.13,0.01
1002,-0.12,Uses_EncrMessenger,FutureVictim_Sidechannel,0.16,0.04
1040,-0.12,Uses_VPN,PastVictim_SocEng,0.22,0.1
42,-0.12,Usage_SmartCar,RelInfo_CurrentSpamCampaigns,0.07,-0.05
1043,-0.12,Uses_VPN,PastHelp_Colleague,0.17,0.05
19,0.12,Usage_Smartphone,PastInfo_SecNewSites,0.01,0.13
3,-0.12,Usage_Laptop,FutureVictim_APT,0.19,0.07
1386,-0.12,Sum_Info_Width,FutureVictim_DDoS,0.24,0.12
1078,-0.12,Uses_AppUpdates,PastInfo_Fam,0.14,0.02
1077,-0.12,Uses_AppUpdates,FutureVictim_Scareware,0.09,-0.03
1072,-0.12,Uses_OSUpdates,PastInfo_Podcast,-0.01,-0.13
14,0.12,Usage_Laptop,FutureInfo_InstalledSoftware,-0.05,0.07
1068,0.12,Uses_OSUpdates,PastVictim_Scareware,-0.16,-0.04
1092,-0.12,Uses_Camcover,Uses_BackupMobile,0.2,0.08
18,-0.12,Usage_Smartphone,PastInfo_Press,0.08,-0.04
