Items,PastVictim_Virus,PastVictim_DDoS,PastVictim_PerfTheft,PastVictim_APT,PastVictim_Sidechannel,PastVictim_Spam,PastVictim_CyBully,PastVictim_CyStalk,PastVictim_IDTheft,PastVictim_Ransomware,PastVictim_ShopScam,PastVictim_Scareware,PastVictim_Spyware,PastVictim_Phishing,PastVictim_Doxing,PastVictim_SocEng,PastVictim_SocMedHack,FutureVictim_Virus,FutureVictim_DDoS,FutureVictim_PerfTheft,FutureVictim_APT,FutureVictim_Sidechannel,FutureVictim_Spam,FutureVictim_CyBully,FutureVictim_CyStalk,FutureVictim_IDTheft,FutureVictim_Ransomware,FutureVictim_ShopScam,FutureVictim_Scareware,FutureVictim_Spyware,FutureVictim_Phishing,FutureVictim_Doxing,FutureVictim_SocEng,FutureVictim_SocMedHack
Knows_CERTb,0.2,0.32,0.35,0.43,0.34,0.0,0.24,0.28,0.23,0.13,0.19,0.26,0.26,0.23,0.33,0.34,0.24,0.0,0.09,0.09,0.12,0.12,0.0,0.12,0.15,0.0,0.0,0.0,0.1,0.0,0.0,0.09,0.0,0.0
Knows_CERTv,0.23,0.37,0.41,0.46,0.4,0.0,0.27,0.3,0.27,0.15,0.21,0.32,0.3,0.28,0.36,0.38,0.27,0.0,0.09,0.11,0.14,0.13,0.0,0.13,0.17,0.0,0.0,0.0,0.11,0.0,0.0,0.11,0.08,0.0
Knows_Heise,0.2,0.3,0.31,0.35,0.3,0.0,0.2,0.19,0.16,0.09,0.15,0.19,0.28,0.2,0.27,0.27,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knows_CyberMonth,0.22,0.34,0.43,0.47,0.44,0.0,0.31,0.3,0.25,0.15,0.2,0.31,0.27,0.28,0.35,0.4,0.27,0.0,0.11,0.13,0.1,0.13,-0.08,0.17,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.13,0.08,0.0
Knows_PWDay,0.18,0.29,0.36,0.4,0.33,0.0,0.24,0.25,0.2,0.11,0.2,0.24,0.25,0.22,0.32,0.28,0.18,0.0,0.07,0.11,0.09,0.1,0.0,0.15,0.18,0.08,0.08,0.1,0.12,0.0,0.0,0.12,0.08,0.0
Knows_DigDay,0.18,0.31,0.41,0.47,0.41,0.0,0.27,0.27,0.26,0.12,0.22,0.27,0.28,0.25,0.34,0.35,0.28,0.07,0.12,0.16,0.12,0.13,0.0,0.19,0.23,0.1,0.09,0.12,0.15,0.0,0.0,0.16,0.12,0.08
Knows_CSECDay,0.19,0.3,0.39,0.42,0.38,0.0,0.25,0.27,0.26,0.12,0.2,0.27,0.28,0.24,0.34,0.37,0.27,0.0,0.13,0.16,0.14,0.15,0.0,0.17,0.22,0.1,0.1,0.11,0.13,0.0,0.0,0.16,0.13,0.07
PastHelp_BSI,0.09,0.23,0.3,0.3,0.27,0.0,0.16,0.18,0.16,0.11,0.12,0.16,0.17,0.12,0.21,0.22,0.16,0.07,0.17,0.18,0.18,0.19,0.0,0.11,0.12,0.12,0.12,0.1,0.15,0.09,0.09,0.14,0.13,0.1
PastHelp_CERTl,0.15,0.3,0.39,0.41,0.38,0.0,0.25,0.28,0.22,0.14,0.19,0.27,0.24,0.21,0.31,0.29,0.22,0.0,0.17,0.21,0.22,0.24,0.0,0.18,0.21,0.15,0.13,0.11,0.19,0.09,0.08,0.15,0.15,0.11
PastHelp_Police,0.0,0.11,0.13,0.12,0.13,0.0,0.09,0.13,0.08,0.07,0.09,0.0,0.0,0.07,0.12,0.12,0.1,0.12,0.14,0.14,0.13,0.16,0.1,0.1,0.1,0.12,0.1,0.12,0.1,0.1,0.15,0.15,0.15,0.17
